timestamp,amount_ngn,sender_account,receiver_account,device_hash,ip_address,merchant_category,location,ip_geo_region,is_fraud,predicted_fraud,fraud_probability,risk_level,recommended_action
2023-10-24 05:49:26.041465,4847115.93,9834662737,5512791702,D4159800,102.89.45.43,Airtime Top-up (MTN),Kaduna,North West,False,1,0.5302924,HIGH,FLAG_FOR_REVIEW
2023-10-24 05:51:39.911309,23889.96,9355145031,1883643521,D2932318,41.58.196.12,Jumia Purchase,Enugu,South East,False,1,0.5538039,CRITICAL,BLOCK
2023-10-24 05:55:06.873739,73463.8,9608049275,5794558243,D5294018,41.58.253.80,DSTV Payment,Kaduna,North West,False,1,0.43996796,MEDIUM,MONITOR
2023-10-24 06:04:54.094439,3268205.44,9958389890,6979968046,D5993441,102.89.41.49,Paystack Payment,Ibadan,South West,False,1,0.4739151,MEDIUM,MONITOR
2023-10-24 06:08:21.117577,735657.65,9370657088,9423825196,D6424455,105.115.233.221,Jumia Purchase,Ibadan,South West,False,1,0.43073106,MEDIUM,MONITOR
2023-10-24 06:19:48.457390,33026.35,9580799036,8042931867,D2752267,197.210.188.173,SPAR Purchase,Abuja,North Central,False,1,0.41100278,MEDIUM,MONITOR
2023-10-24 06:43:04.259429,9569.28,9712800361,8028784994,D6418843,197.210.159.242,Data Subscription (Airtel),Lagos,South West,False,1,0.585411,CRITICAL,BLOCK
2023-10-24 06:48:31.332002,240587.44,9912774510,2297048276,D7177388,102.89.42.223,Other Transaction,Enugu,South East,False,1,0.39622694,MEDIUM,MONITOR
2023-10-24 07:06:19.675630,39525.87,9318609975,8555446931,D7039886,41.58.237.208,Church Offering,Port Harcourt,South South,False,1,0.5317558,HIGH,FLAG_FOR_REVIEW
2023-10-24 07:08:27.783720,8987.87,9093200097,7659727477,D4176081,41.58.128.191,Ikeja Electric Bill,Enugu,South East,False,1,0.39443842,MEDIUM,MONITOR
2023-10-24 07:16:26.171460,1116597.76,9830710909,9367796953,D2478339,102.89.43.40,Filmhouse Cinemas Ticket,Lagos,South West,False,1,0.47567156,MEDIUM,MONITOR
2023-10-24 07:24:03.606657,101176.19,9583608607,2212185620,D1185896,197.210.224.195,SPAR Purchase,Aba,South East,False,1,0.35666063,MEDIUM,MONITOR
2023-10-24 07:27:55.688193,1109162.22,8947161512,2097702665,D6661489,41.58.156.133,Paystack Payment,Benin City,South South,False,1,0.45786595,MEDIUM,MONITOR
2023-10-24 07:32:27.884551,10552.85,9485059427,4968604604,D1267603,41.58.181.167,Other Transaction,Onitsha,South East,False,1,0.43429613,MEDIUM,MONITOR
2023-10-24 07:32:39.154513,10284.6,9488050492,7413076795,D2822268,41.58.180.77,Bet9ja Stake,Kano,North West,False,1,0.48955277,MEDIUM,MONITOR
2023-10-24 07:56:32.290823,12611.3,9490001876,9392595731,D4341797,197.210.98.83,Airtime Top-up (MTN),Aba,South East,False,1,0.53002125,HIGH,FLAG_FOR_REVIEW
